catalog,number,species,location,sex,coords.1.X,coords.1.Y,coords.2.X,coords.2.Y,coords.3.X,coords.3.Y,coords.4.X,coords.4.Y,coords.5.X,coords.5.Y,coords.6.X,coords.6.Y,coords.7.X,coords.7.Y,coords.8.X,coords.8.Y,coords.9.X,coords.9.Y,Csize
UCSB,IZC00030912,tripartitus,mainland,female,0.327729868,-0.248884045,0.347726925,-0.063265627,0.146279076,0.126801841,0.118267052,0.216693502,-0.159138241,0.273941176,-0.267959024,0.39776523,-0.140399306,-0.120988951,-0.202068739,-0.246138817,-0.170437609,-0.33592431,1.603711101
UCSB,IZC00031075,tripartitus,mainland,female,0.351300936,-0.253421387,0.344487561,-0.065427305,0.142445396,0.115769686,0.117337292,0.206200545,-0.164478723,0.275504781,-0.276282941,0.395046996,-0.136417486,-0.114979598,-0.201740553,-0.230517599,-0.176651484,-0.328176118,1.617822625
UCSB,IZC00033295,tripartitus,mainland,female,0.345636782,-0.247405893,0.34045443,-0.067660002,0.151592324,0.110457765,0.113463235,0.198564801,-0.171929178,0.281872638,-0.275518389,0.404225466,-0.137254832,-0.113910317,-0.191158743,-0.236591486,-0.175285629,-0.329552972,1.561855207
UCSB,IZC00034049,tripartitus,mainland,female,0.332100876,-0.246686672,0.351100387,-0.063735401,0.146145612,0.116439724,0.111211528,0.21842061,-0.158279357,0.274810685,-0.269135715,0.398532897,-0.136190352,-0.120212725,-0.20072432,-0.243997173,-0.17622866,-0.333571946,1.803399073
UCSB,IZC00034080,tripartitus,mainland,female,0.359310051,-0.252929588,0.349197564,-0.078033627,0.141060557,0.107335838,0.100727778,0.207838327,-0.166803746,0.276138197,-0.277827398,0.398805033,-0.1318851,-0.109839578,-0.195235352,-0.226777576,-0.178544353,-0.322537026,1.467082641
UCSB,IZC00034598,tripartitus,mainland,female,0.341147018,-0.252947779,0.34479406,-0.06432535,0.142363379,0.128605182,0.114118843,0.213570681,-0.159919224,0.269392173,-0.266863323,0.399281162,-0.139681805,-0.119387213,-0.200421308,-0.246422882,-0.175537639,-0.327765974,1.663996871
UCSB,IZC00034772,tripartitus,mainland,female,0.348750063,-0.254505811,0.35591799,-0.066552069,0.15489708,0.124101757,0.122678801,0.217902435,-0.162646671,0.260902797,-0.281325428,0.377451181,-0.143142575,-0.109855636,-0.208659894,-0.225856437,-0.186469367,-0.323588218,1.689187898
UCSB,IZC00035244,tripartitus,mainland,female,0.338792123,-0.244179162,0.348817661,-0.059938265,0.153760528,0.114206478,0.107626519,0.210628363,-0.157725918,0.269876258,-0.271555393,0.401622339,-0.137163614,-0.119804668,-0.200629899,-0.234819043,-0.181922008,-0.337592301,1.72319289
UCSB,IZC00035279,tripartitus,mainland,female,0.337675165,-0.253583966,0.342790698,-0.06005939,0.141974305,0.116084995,0.112276411,0.213699844,-0.158258054,0.283829212,-0.267868177,0.396156821,-0.138882784,-0.115029585,-0.199700965,-0.241741853,-0.170006598,-0.339356079,1.670881407
UCSB,IZC00035316,tripartitus,mainland,female,0.339084564,-0.256455693,0.334500969,-0.064796317,0.15458771,0.106699873,0.120158233,0.209746977,-0.169241594,0.282718634,-0.283917406,0.399835545,-0.13572457,-0.116008453,-0.189144707,-0.221174838,-0.170303198,-0.340565728,1.456343313
UCSB,IZC00035317,tripartitus,mainland,female,0.332575496,-0.249548656,0.347679924,-0.068780114,0.14737257,0.110112985,0.104107713,0.207440726,-0.152958451,0.281457198,-0.284651404,0.408041415,-0.129924942,-0.11917356,-0.192747548,-0.238874749,-0.171453358,-0.330675244,1.661772629
UCSB,IZC00035322,tripartitus,mainland,female,0.345833951,-0.261184346,0.335818794,-0.096110804,0.132562403,0.118503355,0.121212007,0.20372227,-0.184220161,0.283289356,-0.290226302,0.411816695,-0.123051609,-0.117924593,-0.171763966,-0.225210607,-0.166165118,-0.316901327,2.069289068
UCSB,IZC00035331,tripartitus,mainland,female,0.336464951,-0.254346636,0.336675593,-0.062218756,0.138157443,0.115655648,0.113259362,0.214378258,-0.159596977,0.282841468,-0.270794715,0.406926155,-0.130567559,-0.128819788,-0.190694076,-0.237719476,-0.172904022,-0.336696873,1.674036398
UCSB,IZC00035335,tripartitus,mainland,female,0.323008227,-0.260661067,0.338499261,-0.067379006,0.147089803,0.119563847,0.108356659,0.218349218,-0.150678577,0.281817778,-0.283031723,0.40629911,-0.131286384,-0.117492713,-0.191776651,-0.240747059,-0.160180614,-0.339750107,1.648882199
UCSB,IZC00035446,tripartitus,mainland,female,0.33000283,-0.255187559,0.351504143,-0.072987518,0.147104844,0.123343919,0.103218633,0.210695135,-0.159231775,0.283045996,-0.276040098,0.399400905,-0.136591193,-0.117657148,-0.194640652,-0.24163726,-0.165326732,-0.32901647,1.634035697
UCSB,IZC00035501,tripartitus,mainland,female,0.339257573,-0.260767235,0.347967342,-0.06792345,0.135139399,0.119574934,0.107314265,0.212686019,-0.156513742,0.279132406,-0.276985414,0.4015758,-0.131182201,-0.121194511,-0.196410345,-0.234986586,-0.168586877,-0.328097376,1.686340955
UCSB,IZC00035550,tripartitus,mainland,female,0.325829089,-0.260484082,0.348727718,-0.066230456,0.133579589,0.12706462,0.108135909,0.215452666,-0.147151692,0.280846636,-0.27793507,0.402717578,-0.132983093,-0.12043231,-0.188237543,-0.241428539,-0.169964907,-0.337506112,1.681589115
UCSB,IZC00035556,tripartitus,mainland,female,0.333239131,-0.258252311,0.343239053,-0.072405609,0.139001324,0.121704681,0.104963862,0.212240218,-0.148245226,0.275116372,-0.284688418,0.409252792,-0.131451642,-0.115703088,-0.188384305,-0.233179166,-0.167673779,-0.338773889,1.674496
UCSB,IZC00035636,tripartitus,mainland,female,0.357634255,-0.253730542,0.34575196,-0.073717841,0.132299459,0.121553634,0.109214297,0.204155674,-0.156259303,0.273146829,-0.27770683,0.401589167,-0.138453462,-0.12172278,-0.19797085,-0.22740841,-0.174509527,-0.323865731,1.717571156
UCSB,IZC00035659,tripartitus,mainland,female,0.3338466,-0.247620901,0.346901857,-0.076911687,0.141442597,0.113511359,0.113778339,0.215810173,-0.159491785,0.276294204,-0.282819474,0.405565256,-0.130802542,-0.119541088,-0.185009002,-0.235781307,-0.177846591,-0.331326009,1.703202462
